"ID","POS","term","category","appliesTo","definition","category2","dataSource"
"229","A","axehead-shaped","shape",,"Like an axe head oriented cutting edge downward.","shape",
"230","N","axil","FEATURE",,"The space bounded by and near the vertex of the distal angle between a lateral structure, especially a leaf, and the axis that bears it.","FEATURE",
"231","A","axile","placentation",,"Upon the central axis of a compound, plurilocular ovary.","placentation",
"#","A","axillary","insertion",,"Within the axil; nodal and at or very close to the vertex of the distal angle between a lateral structure, especially a leaf, and the axis that bears it.","insertion",
"233","A","axillary","position",,"Within the axil; nodal and at or very close to the vertex of the distal angle between a lateral structure, especially a leaf, and the axis that bears it.","position",
"234","N","axis","structure",,"Any unitary and longitudinally continuous structure that bears laterally the subordinate portion(s), if any, of a plant root or shoot or any subdivision thereof and that represents the main line of structural development and/or symmetry distal to its orig","STRUCTURE",
"235","N","axes","structure",,"Any unitary and longitudinally continuous structure that bears laterally the subordinate portion(s), if any, of a plant root or shoot or any subdivision thereof and that represents the main line of structural development and/or symmetry distal to its orig","STRUCTURE",
"236","A","baccate","architecture","fruit","Having the structure and texture of a berry.","architecture",
"237","A","bag-shaped","shape",,"Irregularly obovoid with an exterior aspect intermediate between inflated and flaccid; like a closed pouch or bag.","shape",
"238","A","bald","pubescence",,"Lacking trichomes.","pubescence",
"239","A","balding","pubescence",,"Becoming bald (glabrous, psilate) with age.","pubescence",
"240","A","banded","coloration",,"Broadly striped; having one or more elongate, relatively broad and, when multiple, more or less parallel, areas of contrasting hue and/or intensity.","coloration",
"241","N","banner","structure",,"The relatively large, erect adaxial (upper) petal in a papilionaceous corolla.","STRUCTURE",
"242","N","barb","structure",,"Any relatively short, stiff, sharp, acutely inserted or bent, antrorse or retrorse, terminal or lateral appendage.","STRUCTURE",
"243","N","barb","structure",,"A trichome terminated by one or two small, relatively short, stiff, sharp, acutely reflexed appendages.","STRUCTURE",
"244","A","barbate","pubescence",,"Having one or more limited sectors bearing fairly long, erect, flexible, capillary trichomes.","pubescence",
"244","A","barbed","pubescence",,"Having one or more limited sectors bearing fairly long, erect, flexible, capillary trichomes.","pubescence",
"245","A","barbed","architecture",,"Terminated by a small, relatively stiff, acutely reflexed, hook-like structure.","shape",
"246","A","barbed","architecture",,"Having one or more relatively short, stiff, acutely inserted or bent, antrorse or retrorse, terminal and/or lateral hook-like appendages; esp. awns or setae.","shape",
"247","N","barbel","structure",,"A small barb.","STRUCTURE",
"248","N","barbella","structure",,"A small barb.","STRUCTURE",
"249","N","barbellae","structure",,"A small barb.","STRUCTURE",
"250","A","barbellate","architecture",,"Bearing one or more barbels.","architecture","q"
"251","N","barbellula","structure",,"A small barbel (barbella); a very diminutive barb.","STRUCTURE",
"252","N","barbellulae","structure",,"A small barbel (barbella); a very diminutive barb.","STRUCTURE",
"253","A","barbellulate","architecture",,"Bearing one or more barbellules (barbellulae).","architecture",
"254","N","barbellule","structure",,"A small barbel (barbella); a very diminutive barb.","STRUCTURE",
"255","N","bark","structure",,"The outermost portion of any shoot or root axis having secondary growth, consisting of all those tissues outside the vascular cambium; sometimes exhibiting zonation into inner, living bark and outer, dead bark; usually described only as to external appear","STRUCTURE",
"#","A","basal","insertion",,"At or very near the developmental origin (base) of a structure.","insertion",
"257","A","basal","position",,"At or very near the developmental origin (base) of a structure.","position",
"258","N","basal_cell","structure",,"Any of the ring of cells forming the lowermost (proximal) portion of an antheridial wall.","STRUCTURE",
"#","N","base","structure",,"Configuration of the lowermost or proximal portion of a structure, its extent determined somewhat subjectively in relation to the shape of the structure as a whole.  The concept of base varies from one descriptive context to another, since the base is not","CHARACTER",
"260","A","basicauliramous","architecture","plant","Having the stem(s) branching at or near the base.  See also basiramous.","architecture",
"#","A","basicaulous","insertion",,"At or very near the stem base.","insertion",
"262","A","basicaulous","position",,"At or very near the stem base.","position",
"263","A","basifixed","fixation",,"Attached at its base.","fixation",
"264","A","basipetal","development",,"Proceeding toward the base, thus more advanced apically or distally than basally or proximally within a given frame of reference.","development",
"265","A","basiramous","architecture","axis","Branching at or near the base.  See also basicauliramous.","architecture",
"266","A","basiscopic","orientation","subordinate structure","Directed, facing, or pointing ('looking') toward the base of the bearing structure.","orientation",
"267","A","beaded","shape",,"Elongate, relatively slender, transversely round, and more or less regularly constricted over its length, the whole straight or variously curved; like a necklace of beads.","shape",
"268","N","beak","structure",,"A relatively long, tapering, more or less rigid and pointed enation or termination.","STRUCTURE",
"269","N","beak","structure",,"The inner, horn-like segment of a coronal lobe; esp. in Asclepiadaceae.","STRUCTURE",
"270","A","beaked","shape",,"Terminating in a relatively long, tapering, more or less rigid point.  See also small-beaked (rostellate).","shape",
"271","N","beaklet","structure",,"A small beak or rostrum.","STRUCTURE",
"272","N","beaklet","structure",,"A sterile excrescent stigma lobe protruding between the anther and the functional stigma lobes of a column; sometimes forming one or more viscidia at pollinium maturity; esp. in Orchidaceae.","STRUCTURE",
